epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
89,79.3422,0.76994,0.71304,0.00636,0.75356,0.48708,0.70074,0.43969,1.9836,1.43186,0.01896,1.53272e-05,1.53272e-05,1.53272e-05
90,80.2073,0.58952,0.74447,0.00757,0.75356,0.48708,0.70074,0.43969,1.9836,1.43186,0.01896,1.41491e-05,1.41491e-05,1.41491e-05
91,81.0368,0.64423,0.46119,0.01052,0.75635,0.47464,0.69838,0.41491,1.98319,1.40827,0.01875,1.2971e-05,1.2971e-05,1.2971e-05
92,81.8825,0.48085,0.58985,0.00509,0.75635,0.47464,0.69838,0.41491,1.98319,1.40827,0.01875,1.17929e-05,1.17929e-05,1.17929e-05
93,82.8475,0.61884,0.55886,0.01043,0.75635,0.47464,0.69838,0.41491,1.98319,1.40827,0.01875,1.06148e-05,1.06148e-05,1.06148e-05
94,83.7472,0.50596,0.38005,0.0075,0.79299,0.44701,0.69377,0.44103,1.98352,1.42606,0.01852,9.4367e-06,9.4367e-06,9.4367e-06
95,84.5973,0.57867,0.44741,0.00646,0.79299,0.44701,0.69377,0.44103,1.98352,1.42606,0.01852,8.2586e-06,8.2586e-06,8.2586e-06
96,85.5013,0.65123,0.30959,0.00928,0.79299,0.44701,0.69377,0.44103,1.98352,1.42606,0.01852,7.0805e-06,7.0805e-06,7.0805e-06
97,86.3538,0.75725,0.52064,0.00696,0.5443,0.51605,0.65828,0.42465,2.0136,1.37054,0.01835,5.9024e-06,5.9024e-06,5.9024e-06
98,87.233,0.77077,0.52628,0.01158,0.5443,0.51605,0.65828,0.42465,2.0136,1.37054,0.01835,4.7243e-06,4.7243e-06,4.7243e-06
99,88.2202,0.67519,0.33209,0.00977,0.5443,0.51605,0.65828,0.42465,2.0136,1.37054,0.01835,3.5462e-06,3.5462e-06,3.5462e-06
100,89.1001,0.55923,0.41453,0.00488,0.75877,0.47262,0.65776,0.42109,2.00335,1.37146,0.01801,2.3681e-06,2.3681e-06,2.3681e-06
